ID,Department
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,Human Resources
2b3c4d5e-6f7a-4b8c-9d0e-1f2a3b4c5d6e,Information Technology
3c4d5e6f-7a8b-4c9d-8e1f-2a3b4c5d6e7f,Sales
4d5e6f7a-8b9c-4d0e-1f2a-3b4c5d6e7f8g,Marketing
5e6f7a8b-9c0d-4e1f-2a3b-4c5d6e7f8g9h,Finance
6f7a8b9c-0d1e-4f2a-3b4c-5d6e7f8g9h0i,Operations
7a8b9c0d-1e2f-4a3b-4c5d-6e7f8g9h0i1j,Research and Development
8b9c0d1e-2f3a-4b4c-5d6e-7f8g9h0i1j2k,Customer Service
9c0d1e2f-3a4b-4c5d-6e7f-8g9h0i1j2k3l,Legal
a0d1e2f3-a4b5-4d6e-7f8g-9h0i1j2k3l4m,Purchasing
b1e2f3a4-b5c6-4e7f-8g9h-0i1j2k3l4m5n,Logistics
c2f3a4b5-c6d7-4f8g-9h0i-1j2k3l4m5n6o,Quality Assurance
