ID,Region,Country_ID
c8c1f9e2-4f3b-4c2a-9e8d-7b6a5c4d3e2f,California,9a944ae7-d124-42e8-ac37-e7918a46d96b
d9e2a0b3-5a4c-4d3b-8f9e-8c7b6a5d4e3f,Texas,9a944ae7-d124-42e8-ac37-e7918a46d96b
e0f3b1c4-6b5d-4e4c-9a0f-9d8c7b6a5e4g,Florida,9a944ae7-d124-42e8-ac37-e7918a46d96b
f1a4c2d5-7c6e-4f5d-8b1a-0e9d8c7b6f5h,New York,9a944ae7-d124-42e8-ac37-e7918a46d96b
a2b5d3e6-8d7f-4a6e-9c2b-1f0e9d8c7a6i,Illinois,9a944ae7-d124-42e8-ac37-e7918a46d96b
b3c6e4f7-9e8a-4b7f-8d3c-2a1f0e9d8b7j,Pennsylvania,9a944ae7-d124-42e8-ac37-e7918a46d96b
c4d7f5a8-0f9b-4c8a-9e4d-3b2a1f0e9c8k,Ontario,fdd349c4-0ac6-4f69-9f80-16c063919a23
d5e8a6b9-1a0c-4d9b-8f5e-4c3b2a1f0d9l,Quebec,fdd349c4-0ac6-4f69-9f80-16c063919a23
e6f9b7ca-2b1d-4e0c-9a6f-5d4c3b2a1e0m,British Columbia,fdd349c4-0ac6-4f69-9f80-16c063919a23
f7a0c8db-3c2e-4f1d-8b7a-6e5d4c3b2f1n,Alberta,fdd349c4-0ac6-4f69-9f80-16c063919a23
a8b1d9ec-4d3f-4a2e-9c8b-7f6e5d4c3a2o,Andalucía,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i
b9c2e0fd-5e4a-4b3f-8d9c-8a7f6e5d4b3p,Cataluña,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i
c0d3f1ae-6f5b-4c4a-9e0d-9b8a7f6e5c4q,Comunidad de Madrid,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i
d1e4a2bf-7a6c-4d5b-8f1e-0c9b8a7f6d5r,Galicia,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i
e2f5b3ca-8b7d-4e6c-9a2f-1d0c9b8a7e6s,País Vasco,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i
f3a6c4db-9c8e-4f7d-8b3a-2e1d0c9b8f7t,Comunidad Valenciana,f6a7b8c9-d0e1-4f2a-3b4c-5d6e7f8g9h0i
a4b7d5ec-0d9f-4a8e-9c4b-3f2e1d0c9a8u,Bavaria,6085a79e-83dc-4cb5-878c-3dae06287ef1
